,ID,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1,Segmentation,renda,tempo_ultima_compra,automoveis_adquiridos,avalicao_cliente
35,464590,Feminino,Nao,27,Sim,Ator/Atriz,14.0,Baixo,3.0,Cat_6,A,9679.38,4,1,8
37,465729,Masculino,Sim,41,Sim,Ator/Atriz,0.0,Medio,4.0,Cat_4,B,3340.51,20,1,10
38,462442,Masculino,Nao,19,Nao,Enfermeiro,0.0,Baixo,4.0,Cat_6,D,14193.48,10,3,8
40,462078,Feminino,Sim,61,Nao,Ator/Atriz,1.0,Medio,2.0,Cat_2,B,9666.8,36,1,10
41,467873,Feminino,Sim,36,Sim,Ator/Atriz,1.0,Medio,2.0,Cat_6,C,6256.25,15,1,10
42,461270,Masculino,Sim,40,Sim,Ator/Atriz,1.0,Baixo,1.0,Cat_3,A,8889.06,9,1,9
43,462960,Feminino,Sim,57,Sim,Entretenimento,0.0,Medio,2.0,Cat_6,C,6658.78,12,2,9
45,462110,Masculino,Sim,32,Sim,Ator/Atriz,14.0,Medio,2.0,Cat_6,B,7291.8,10,1,7
46,465769,Masculino,Nao,25,Sim,Enfermeiro,9.0,Baixo,4.0,Cat_6,D,13885.01,10,1,6
47,465269,Feminino,Sim,45,Sim,Ator/Atriz,1.0,Medio,3.0,Cat_3,C,8794.73,35,1,4
48,461891,Masculino,Sim,48,Sim,Ator/Atriz,0.0,Medio,2.0,Cat_6,C,5348.11,27,1,5
49,466935,Masculino,Sim,55,Sim,Ator/Atriz,9.0,Medio,2.0,Cat_1,C,6574.59,29,2,5
50,464091,Masculino,Sim,74,Sim,Advogado,0.0,Alto,3.0,Cat_6,D,8839.01,4,1,7
51,464535,Masculino,Sim,56,Sim,Advogado,1.0,Alto,2.0,Cat_6,A,1452.15,3,1,10
52,463108,Masculino,Sim,59,Sim,Advogado,7.0,Alto,2.0,Cat_6,A,7746.78,36,2,7
53,461356,Masculino,Nao,25,Sim,Entretenimento,0.0,Baixo,2.0,Cat_6,A,5014.92,5,2,9
54,464570,Masculino,Sim,31,Sim,Medico,0.0,Medio,2.0,Cat_6,A,7657.9,34,1,7
55,464580,Masculino,Nao,27,Nao,Ator/Atriz,8.0,Baixo,4.0,Cat_6,A,12619.56,11,2,10
56,465233,Masculino,Sim,57,Sim,Ator/Atriz,0.0,Medio,4.0,Cat_6,B,8678.48,19,1,10
57,459954,Masculino,Sim,27,Sim,Enfermeiro,8.0,Baixo,2.0,Cat_6,D,15268.72,18,1,3
58,460219,Feminino,Sim,51,Sim,Entretenimento,8.0,Medio,2.0,Cat_6,A,5619.4,29,1,7
59,460877,Feminino,Sim,47,Nao,Ator/Atriz,0.0,Medio,5.0,Cat_6,B,8872.75,30,2,10
60,460191,Feminino,Nao,33,Nao,Enfermeiro,8.0,Baixo,4.0,Cat_6,D,13647.01,15,2,10
61,463742,Masculino,Sim,56,Sim,Ator/Atriz,0.0,Medio,4.0,Cat_6,C,9247.39,15,1,5
62,463691,Feminino,Nao,33,Nao,Do Lar,0.0,Baixo,3.0,Cat_6,B,4617.69,26,1,10
63,463250,Feminino,Nao,36,Sim,Medico,0.0,Baixo,2.0,Cat_6,D,6175.06,26,1,4
64,463952,Masculino,Sim,51,Nao,Ator/Atriz,4.0,Baixo,3.0,Cat_4,A,7816.61,18,1,9
66,465379,Masculino,Nao,30,Nao,Enfermeiro,0.0,Baixo,4.0,Cat_6,C,12045.94,8,2,6
67,463814,Feminino,Nao,26,Nao,Enfermeiro,6.0,Baixo,3.0,Cat_5,D,13751.75,10,2,7
68,466938,Masculino,Sim,63,Sim,Ator/Atriz,8.0,Baixo,1.0,Cat_6,A,7947.02,5,1,9
69,460671,Masculino,Sim,35,Nao,Entretenimento,8.0,Medio,4.0,Cat_3,B,4946.16,34,1,8
71,461671,Masculino,Nao,32,Nao,Enfermeiro,7.0,Baixo,5.0,Cat_6,D,14005.69,4,1,8
72,459384,Masculino,Sim,52,Sim,Ator/Atriz,0.0,Medio,3.0,Cat_6,C,6524.05,18,2,3
73,459905,Feminino,Sim,36,Sim,Ator/Atriz,5.0,Baixo,2.0,Cat_6,C,8456.66,12,2,9
74,464734,Feminino,Nao,42,Nao,Entretenimento,7.0,Baixo,3.0,Cat_4,D,6855.7,17,2,7
75,464125,Masculino,Sim,40,Nao,Medico,0.0,Medio,2.0,Cat_3,D,6280.07,1,1,9
76,467434,Masculino,Nao,39,Sim,Entretenimento,0.0,Baixo,3.0,Cat_1,B,5098.89,7,1,8
77,460956,Feminino,Sim,47,Sim,Ator/Atriz,1.0,Medio,4.0,Cat_3,C,4894.93,9,1,4
78,465179,Feminino,Sim,61,Sim,Ator/Atriz,1.0,Alto,2.0,Cat_6,C,10043.16,11,1,10
79,463338,Masculino,Sim,32,Nao,Entretenimento,1.0,Baixo,2.0,Cat_3,D,6879.96,10,2,8
80,467066,Masculino,Sim,55,Nao,Ator/Atriz,0.0,Baixo,1.0,Cat_6,B,6636.68,33,1,10
81,459976,Feminino,Nao,38,Sim,Ator/Atriz,0.0,Baixo,1.0,Cat_6,D,5989.87,15,2,10
82,461334,Masculino,Sim,63,Sim,Ator/Atriz,0.0,Alto,2.0,Cat_6,C,11817.29,33,4,8
83,465108,Masculino,Sim,58,Sim,Medico,1.0,Medio,2.0,Cat_6,C,4789.82,9,1,9
85,464144,Masculino,Sim,60,Sim,Ator/Atriz,0.0,Medio,4.0,Cat_6,C,10161.15,14,4,5
86,466911,Masculino,Sim,68,Nao,Executivo,1.0,Alto,7.0,Cat_6,B,9498.14,36,1,5
87,462806,Masculino,Sim,52,Nao,Ator/Atriz,0.0,Baixo,3.0,Cat_4,A,7743.06,5,1,8
88,463426,Masculino,Sim,38,Nao,Executivo,0.0,Alto,5.0,Cat_6,A,14434.92,28,1,4
89,464065,Feminino,Sim,35,Sim,Enfermeiro,10.0,Baixo,2.0,Cat_6,B,12089.31,1,1,8
90,462979,Masculino,Nao,18,Nao,Medico,1.0,Baixo,2.0,Cat_6,D,8202.14,14,1,10
91,462834,Masculino,Sim,30,Sim,Do Lar,3.0,Baixo,2.0,Cat_1,D,4414.85,21,1,4
92,460764,Masculino,Nao,86,Nao,Advogado,1.0,Baixo,1.0,Cat_6,D,7355.32,1,1,9
93,460185,Masculino,Nao,25,Nao,Enfermeiro,9.0,Baixo,3.0,Cat_6,D,11327.27,12,4,10
94,464406,Feminino,Nao,39,Sim,Ator/Atriz,0.0,Baixo,1.0,Cat_6,A,9814.75,22,1,5
95,462059,Masculino,Nao,47,Sim,Ator/Atriz,1.0,Baixo,1.0,Cat_6,C,12926.11,20,2,9
96,467905,Masculino,Sim,43,Sim,Executivo,0.0,Alto,3.0,Cat_6,D,10817.49,25,1,8
97,461177,Masculino,Sim,36,Nao,Executivo,8.0,Medio,4.0,Cat_1,B,13862.91,12,2,8
98,460765,Masculino,Sim,80,Nao,Advogado,1.0,Baixo,1.0,Cat_6,D,3637.71,5,1,10
99,465386,Masculino,Nao,36,Sim,Ator/Atriz,0.0,Baixo,2.0,Cat_2,C,8535.49,12,1,10
100,462332,Feminino,Sim,37,Sim,Ator/Atriz,1.0,Alto,2.0,Cat_7,A,7636.13,23,1,10
101,464481,Masculino,Sim,46,Sim,Executivo,0.0,Alto,3.0,Cat_6,C,17483.46,11,1,4
102,461011,Masculino,Sim,55,Nao,Executivo,1.0,Alto,4.0,Cat_3,B,18053.51,34,1,10
104,461094,Feminino,Nao,28,Sim,Enfermeiro,1.0,Baixo,3.0,Cat_3,D,14949.83,1,1,10
105,462104,Masculino,Sim,39,Nao,Entretenimento,9.0,Baixo,2.0,Cat_3,D,6540.05,11,1,10
107,461787,Masculino,Sim,72,Sim,Ator/Atriz,0.0,Medio,2.0,Cat_6,C,9293.02,5,1,9
109,460153,Masculino,Nao,35,Sim,Entretenimento,8.0,Baixo,5.0,Cat_6,C,5223.27,37,1,10
110,465215,Masculino,Sim,39,Sim,Executivo,9.0,Alto,5.0,Cat_2,A,13869.84,3,1,6
111,466746,Feminino,Sim,69,Sim,Advogado,0.0,Alto,2.0,Cat_6,C,4634.18,37,1,5
112,464857,Masculino,Nao,18,Nao,Enfermeiro,6.0,Baixo,4.0,Cat_4,D,15390.97,12,1,7
114,459853,Masculino,Nao,30,Nao,Executivo,5.0,Baixo,5.0,Cat_6,A,15513.12,6,2,9
115,460410,Feminino,Nao,39,Sim,Ator/Atriz,3.0,Baixo,4.0,Cat_6,D,9701.35,16,1,6
117,462008,Feminino,Sim,37,Sim,Ator/Atriz,4.0,Baixo,4.0,Cat_5,B,9090.06,16,1,10
119,459880,Feminino,Sim,48,Sim,Ator/Atriz,0.0,Medio,5.0,Cat_7,C,8147.71,7,2,9
120,459261,Feminino,Nao,32,Sim,Medico,0.0,Baixo,3.0,Cat_6,C,7568.79,8,2,10
124,461740,Masculino,Sim,80,Sim,Advogado,1.0,Baixo,1.0,Cat_6,B,5621.7,4,1,3
125,467092,Feminino,Nao,28,Sim,Enfermeiro,7.0,Baixo,4.0,Cat_6,D,14669.92,23,1,10
126,464173,Masculino,Sim,71,Sim,Ator/Atriz,6.0,Medio,3.0,Cat_6,C,5998.59,3,1,10
127,464972,Masculino,Sim,67,Nao,Advogado,0.0,Alto,9.0,Cat_4,A,3486.93,2,1,10
130,460043,Feminino,Sim,43,Sim,Ator/Atriz,2.0,Medio,2.0,Cat_6,B,5618.75,19,2,9
131,466590,Feminino,Nao,27,Sim,Enfermeiro,0.0,Baixo,4.0,Cat_6,C,16200.99,27,2,1
133,465662,Masculino,Sim,76,Nao,Executivo,1.0,Baixo,1.0,Cat_6,C,7522.85,3,1,10
134,459231,Feminino,Sim,43,Sim,Ator/Atriz,3.0,Medio,4.0,Cat_6,C,9668.4,1,2,5
135,466495,Feminino,Sim,78,Sim,Advogado,1.0,Alto,2.0,Cat_6,B,4914.23,8,1,9
136,459192,Masculino,Sim,35,Sim,Ator/Atriz,3.0,Medio,3.0,Cat_6,C,7843.02,23,2,4
137,465710,Feminino,Nao,49,Sim,Ator/Atriz,1.0,Baixo,1.0,Cat_6,C,7859.92,37,2,10
138,460258,Feminino,Nao,25,Sim,Enfermeiro,1.0,Baixo,5.0,Cat_6,D,12354.81,16,4,10
139,462813,Masculino,Sim,37,Nao,Executivo,0.0,Medio,5.0,Cat_6,A,13801.11,13,1,4
140,467768,Masculino,Sim,60,Sim,Medico,0.0,Medio,2.0,Cat_6,C,1332.1,10,1,5
141,465291,Feminino,Sim,45,Sim,Ator/Atriz,5.0,Medio,3.0,Cat_6,C,6245.83,34,1,7
142,462996,Feminino,Sim,49,Sim,Do Lar,9.0,Medio,3.0,Cat_6,C,4394.42,24,1,10
143,463497,Masculino,Nao,32,Sim,Ator/Atriz,0.0,Baixo,5.0,Cat_6,D,9895.79,3,1,8
144,465301,Feminino,Sim,40,Sim,Ator/Atriz,0.0,Baixo,3.0,Cat_3,B,7802.47,17,1,4
145,464702,Masculino,Sim,59,Nao,Ator/Atriz,2.0,Medio,2.0,Cat_4,C,4437.28,26,1,7
146,459012,Masculino,Sim,48,Sim,Ator/Atriz,3.0,Baixo,5.0,Cat_6,B,10943.64,27,2,4
147,465053,Masculino,Sim,82,Sim,Executivo,0.0,Alto,2.0,Cat_6,C,9771.36,31,1,5
148,459420,Feminino,Sim,70,Sim,Advogado,0.0,Baixo,2.0,Cat_6,B,5196.7,25,1,9
149,464166,Masculino,Nao,31,Sim,Ator/Atriz,5.0,Baixo,2.0,Cat_6,B,3044.93,32,1,4
150,458987,Feminino,Sim,72,Sim,Advogado,0.0,Alto,2.0,Cat_6,C,4309.79,28,1,10
151,467745,Masculino,Sim,50,Sim,Ator/Atriz,3.0,Medio,4.0,Cat_6,C,6301.96,37,1,6
153,461081,Feminino,Nao,20,Nao,Enfermeiro,2.0,Baixo,6.0,Cat_6,D,11453.11,20,4,9
154,467896,Feminino,Nao,22,Nao,Enfermeiro,4.0,Baixo,3.0,Cat_6,D,14436.03,9,4,9
156,466620,Feminino,Sim,36,Sim,Ator/Atriz,7.0,Medio,2.0,Cat_6,C,4789.73,36,1,4
157,460697,Masculino,Sim,40,Sim,Ator/Atriz,4.0,Medio,4.0,Cat_6,C,6305.69,9,1,9
158,467934,Feminino,Nao,40,Sim,Ator/Atriz,1.0,Baixo,1.0,Cat_6,A,6967.18,30,2,5
159,467910,Feminino,Nao,21,Nao,Medico,1.0,Baixo,3.0,Cat_7,A,6395.12,14,1,7
161,460263,Masculino,Sim,40,Sim,Ator/Atriz,0.0,Baixo,2.0,Cat_6,B,5689.74,21,2,10
162,459340,Masculino,Sim,53,Sim,Ator/Atriz,1.0,Medio,3.0,Cat_6,B,6317.79,22,1,10
163,465622,Feminino,Sim,42,Sim,Ator/Atriz,5.0,Baixo,2.0,Cat_6,C,5388.73,22,1,7
164,459395,Masculino,Sim,42,Nao,Executivo,8.0,Baixo,2.0,Cat_6,D,13924.04,17,1,6
165,466574,Masculino,Sim,59,Sim,Ator/Atriz,7.0,Baixo,2.0,Cat_6,C,2804.4,23,1,8
166,466544,Masculino,Sim,41,Sim,Executivo,1.0,Medio,3.0,Cat_6,A,1773.28,33,1,10
167,463610,Feminino,Sim,31,Sim,Ator/Atriz,0.0,Medio,2.0,Cat_6,A,11159.87,9,1,9
168,465539,Feminino,Sim,49,Sim,Ator/Atriz,1.0,Alto,5.0,Cat_6,B,6079.93,7,2,10
169,459823,Masculino,Sim,67,Sim,Executivo,1.0,Baixo,2.0,Cat_6,A,5300.81,8,1,6
170,467614,Masculino,Sim,35,Nao,Ator/Atriz,4.0,Medio,2.0,Cat_6,B,7531.89,26,1,10
171,459073,Feminino,Nao,26,Sim,Enfermeiro,0.0,Baixo,3.0,Cat_6,C,13827.76,35,2,8
173,460022,Feminino,Sim,39,Sim,Enfermeiro,4.0,Baixo,2.0,Cat_6,A,13428.68,35,1,8
174,459929,Masculino,Sim,63,Sim,Entretenimento,0.0,Baixo,2.0,Cat_6,A,6066.28,28,2,9
175,466613,Masculino,Nao,23,Nao,Enfermeiro,8.0,Baixo,3.0,Cat_6,D,14062.4,3,1,8
176,461149,Feminino,Nao,23,Nao,Enfermeiro,0.0,Baixo,3.0,Cat_3,D,14056.18,25,2,4
177,466068,Feminino,Sim,53,Sim,Ator/Atriz,2.0,Baixo,1.0,Cat_6,C,8061.15,33,2,9
178,461513,Masculino,Nao,33,Sim,Medico,0.0,Baixo,2.0,Cat_6,B,1724.7,20,1,9
180,459664,Masculino,Nao,37,Sim,Ator/Atriz,2.0,Baixo,1.0,Cat_6,B,9424.08,32,2,4
182,461710,Feminino,Sim,49,Sim,Medico,1.0,Medio,4.0,Cat_6,C,6450.59,11,1,10
183,462742,Masculino,Nao,18,Nao,Enfermeiro,0.0,Baixo,3.0,Cat_3,D,13647.26,27,2,10
184,459528,Feminino,Sim,52,Sim,Medico,0.0,Medio,2.0,Cat_6,C,5617.16,4,1,8
186,463429,Feminino,Nao,28,Sim,Ator/Atriz,7.0,Baixo,3.0,Cat_6,A,5242.01,7,2,5
187,464024,Masculino,Nao,20,Nao,Enfermeiro,0.0,Baixo,5.0,Cat_7,D,13027.67,29,3,10
188,460691,Feminino,Nao,27,Nao,Do Lar,8.0,Baixo,1.0,Cat_3,D,4543.95,26,1,8
189,467271,Masculino,Sim,45,Sim,Ator/Atriz,4.0,Medio,4.0,Cat_6,B,8077.08,7,1,10
190,465634,Masculino,Nao,25,Sim,Enfermeiro,1.0,Baixo,4.0,Cat_4,B,14313.11,11,1,6
192,462036,Feminino,Sim,67,Sim,Advogado,0.0,Alto,2.0,Cat_6,B,1808.71,29,1,8
193,460448,Feminino,Nao,38,Sim,Ator/Atriz,9.0,Baixo,1.0,Cat_3,A,7209.51,10,2,10
194,464464,Masculino,Nao,28,Nao,Enfermeiro,0.0,Baixo,4.0,Cat_2,C,12276.82,33,1,9
195,462410,Feminino,Nao,32,Nao,Enfermeiro,1.0,Baixo,5.0,Cat_7,B,13889.09,20,3,10
196,459756,Feminino,Sim,56,Nao,Advogado,1.0,Alto,4.0,Cat_4,B,6056.61,24,1,4
197,463789,Feminino,Sim,53,Sim,Ator/Atriz,1.0,Baixo,2.0,Cat_6,C,9750.62,35,1,10
198,466947,Masculino,Sim,57,Nao,Executivo,1.0,Alto,5.0,Cat_6,C,8778.08,6,1,10
199,464150,Feminino,Sim,59,Sim,Ator/Atriz,0.0,Medio,3.0,Cat_6,C,8193.4,10,1,10
200,465693,Feminino,Sim,25,Sim,Enfermeiro,1.0,Alto,4.0,Cat_4,A,12583.09,17,1,10
201,461670,Masculino,Sim,59,Sim,Ator/Atriz,0.0,Medio,6.0,Cat_6,C,6613.22,7,1,10
202,466768,Feminino,Sim,36,Sim,Ator/Atriz,0.0,Baixo,4.0,Cat_6,C,3897.38,34,1,8
203,461550,Masculino,Sim,37,Sim,Entretenimento,7.0,Baixo,2.0,Cat_6,A,6925.04,1,1,10
204,462438,Masculino,Nao,22,Nao,Medico,1.0,Baixo,3.0,Cat_2,D,7602.12,10,1,6
205,460704,Masculino,Sim,43,Sim,Ator/Atriz,1.0,Baixo,2.0,Cat_6,B,7583.35,12,1,4
206,464884,Masculino,Sim,41,Sim,Ator/Atriz,1.0,Baixo,2.0,Cat_4,A,8749.35,36,2,10
208,466176,Masculino,Nao,38,Sim,Medico,8.0,Baixo,1.0,Cat_2,B,8134.24,29,1,10
209,467773,Masculino,Sim,70,Sim,Advogado,1.0,Alto,3.0,Cat_6,C,5788.26,36,1,6
211,462318,Feminino,Sim,82,Nao,Advogado,0.0,Medio,2.0,Cat_6,A,4164.93,19,1,9
212,460197,Masculino,Nao,38,Sim,Ator/Atriz,8.0,Baixo,3.0,Cat_2,A,7512.95,2,1,6
213,459375,Masculino,Sim,18,Nao,Executivo,0.0,Alto,4.0,Cat_6,A,14189.63,28,2,4
214,463862,Masculino,Sim,50,Sim,Ator/Atriz,6.0,Medio,3.0,Cat_6,C,7569.29,8,1,10
215,462721,Feminino,Sim,72,Nao,Advogado,1.0,Alto,3.0,Cat_6,D,4793.92,35,1,8
216,465809,Feminino,Nao,25,Nao,Do Lar,1.0,Baixo,7.0,Cat_4,B,4355.95,24,1,8
217,466915,Feminino,Sim,75,Nao,Entretenimento,2.0,Alto,2.0,Cat_2,D,5321.59,22,2,10
218,467343,Masculino,Nao,72,Sim,Ator/Atriz,1.0,Baixo,1.0,Cat_6,B,12310.9,6,1,9
219,466268,Feminino,Sim,72,Sim,Ator/Atriz,0.0,Medio,3.0,Cat_4,C,9868.02,22,1,10
220,464868,Masculino,Sim,36,Sim,Entretenimento,6.0,Baixo,6.0,Cat_4,A,6952.51,34,1,9
221,464038,Masculino,Sim,40,Sim,Ator/Atriz,1.0,Baixo,2.0,Cat_6,A,5664.99,12,1,6
222,460176,Feminino,Nao,28,Sim,Entretenimento,0.0,Baixo,4.0,Cat_6,C,5719.59,21,1,10
223,462161,Feminino,Nao,28,Sim,Medico,0.0,Baixo,3.0,Cat_6,D,5354.91,36,1,10
224,464893,Masculino,Sim,43,Sim,Ator/Atriz,0.0,Baixo,2.0,Cat_4,B,3575.3,22,1,8
225,464443,Feminino,Sim,35,Sim,Ator/Atriz,1.0,Medio,2.0,Cat_6,B,6354.6,15,1,8
226,467619,Masculino,Sim,65,Sim,Advogado,1.0,Alto,2.0,Cat_6,B,1340.92,9,1,8
227,465974,Masculino,Sim,52,Sim,Executivo,7.0,Alto,4.0,Cat_4,C,13054.65,7,1,8
228,462075,Feminino,Nao,40,Sim,Ator/Atriz,1.0,Baixo,1.0,Cat_6,B,11142.7,30,1,10
230,466921,Feminino,Nao,22,Nao,Enfermeiro,3.0,Baixo,3.0,Cat_6,D,14181.5,16,2,6
231,463544,Masculino,Sim,47,Sim,Executivo,1.0,Medio,4.0,Cat_6,C,9995.48,10,1,6
233,467364,Masculino,Sim,46,Sim,Ator/Atriz,1.0,Medio,3.0,Cat_3,C,13653.32,9,2,10
234,462408,Masculino,Nao,32,Sim,Ator/Atriz,1.0,Baixo,2.0,Cat_6,A,4651.64,25,1,2
235,466224,Feminino,Nao,38,Sim,Enfermeiro,0.0,Baixo,1.0,Cat_2,C,13765.85,6,1,10
236,465151,Masculino,Sim,59,Sim,Ator/Atriz,0.0,Baixo,1.0,Cat_6,B,4863.42,5,1,9
237,467216,Feminino,Nao,26,Sim,Entretenimento,1.0,Baixo,1.0,Cat_6,D,4545.52,14,1,9
238,460586,Masculino,Nao,26,Sim,Enfermeiro,1.0,Baixo,2.0,Cat_3,A,15151.09,25,2,8
241,464088,Masculino,Nao,27,Nao,Medico,1.0,Baixo,3.0,Cat_6,D,9275.17,25,1,10
243,462331,Feminino,Nao,31,Nao,Entretenimento,0.0,Baixo,2.0,Cat_6,D,7990.61,29,1,5
244,466523,Masculino,Sim,39,Sim,Executivo,1.0,Alto,3.0,Cat_3,B,17935.33,16,1,10
246,460834,Masculino,Sim,25,Nao,Medico,1.0,Baixo,2.0,Cat_1,A,6669.4,2,1,9
247,466824,Masculino,Sim,40,Sim,Ator/Atriz,3.0,Alto,3.0,Cat_6,A,10171.93,3,2,10
248,461607,Feminino,Sim,40,Sim,Entretenimento,7.0,Medio,2.0,Cat_3,B,5390.23,3,1,10
249,466999,Masculino,Nao,27,Sim,Enfermeiro,1.0,Baixo,3.0,Cat_6,D,13223.69,6,1,1
250,466597,Feminino,Nao,19,Nao,Enfermeiro,1.0,Baixo,2.0,Cat_6,D,10792.45,36,3,9
251,464075,Feminino,Sim,86,Sim,Advogado,0.0,Alto,2.0,Cat_6,B,4007.02,3,1,3
252,462163,Feminino,Sim,27,Sim,Ator/Atriz,4.0,Medio,2.0,Cat_3,C,7022.14,2,2,6
253,463895,Feminino,Sim,70,Nao,Medico,0.0,Medio,2.0,Cat_6,B,4399.67,18,1,9
255,463738,Masculino,Sim,43,Nao,Executivo,0.0,Alto,4.0,Cat_6,A,9644.12,34,2,7
256,465967,Masculino,Sim,36,Nao,Medico,6.0,Baixo,3.0,Cat_6,A,2080.14,27,1,10
257,462260,Masculino,Sim,74,Sim,Advogado,0.0,Baixo,2.0,Cat_6,C,6246.6,34,2,6
258,467234,Feminino,Nao,30,Nao,Do Lar,0.0,Baixo,4.0,Cat_6,D,4472.72,2,1,10
259,466573,Feminino,Nao,37,Sim,Ator/Atriz,5.0,Baixo,2.0,Cat_6,B,8835.06,3,2,9
261,459768,Masculino,Nao,19,Nao,Enfermeiro,0.0,Baixo,4.0,Cat_6,D,14046.41,12,2,10
263,467714,Masculino,Sim,89,Sim,Advogado,13.0,Baixo,1.0,Cat_6,A,3951.04,15,1,10
264,459474,Masculino,Nao,25,Sim,Medico,6.0,Baixo,1.0,Cat_2,D,11888.37,33,3,7
265,460093,Feminino,Nao,45,Sim,Ator/Atriz,4.0,Baixo,1.0,Cat_3,A,7670.41,12,1,8
266,467865,Feminino,Nao,35,Sim,Ator/Atriz,3.0,Baixo,1.0,Cat_4,A,6174.88,36,1,9
269,462618,Feminino,Nao,32,Sim,Enfermeiro,1.0,Baixo,5.0,Cat_4,D,12676.98,37,1,10
270,464226,Feminino,Sim,62,Sim,Ator/Atriz,2.0,Medio,3.0,Cat_6,C,4104.73,26,1,6
272,466627,Masculino,Nao,25,Nao,Enfermeiro,0.0,Baixo,5.0,Cat_6,C,13524.62,19,1,9
273,467380,Feminino,Sim,56,Sim,Ator/Atriz,0.0,Medio,4.0,Cat_6,C,6086.68,7,2,9
274,465842,Feminino,Nao,36,Sim,Entretenimento,10.0,Baixo,2.0,Cat_6,A,8699.58,23,4,9
275,464622,Feminino,Nao,30,Nao,Enfermeiro,8.0,Baixo,3.0,Cat_6,A,10800.16,21,1,6
276,462083,Masculino,Nao,19,Nao,Enfermeiro,1.0,Baixo,5.0,Cat_6,D,15364.44,4,2,10
