NU_INSCRICAO,TP_FAIXA_ETARIA,TP_SEXO,TP_COR_RACA,TP_ANO_CONCLUIU,TP_ENSINO,IN_TREINEIRO,NO_MUNICIPIO_PROVA,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO,Q005,Q006
210061306786,2,F,1,0,1.0,0,São João de Meriti,479.7,578.7,590.3,466.0,560.0,5,C
210061306764,2,M,1,0,1.0,0,Duque de Caxias,609.3,584.6,571.4,756.7,860.0,4,D
210060392001,3,F,1,0,1.0,0,Duque de Caxias,520.3,573.2,595.0,456.1,580.0,2,B
210058314204,3,F,1,0,1.0,0,Duque de Caxias,409.4,561.3,546.2,526.7,520.0,4,A
210059910768,2,F,3,0,1.0,0,Nova Iguaçu,406.2,393.7,405.7,440.3,600.0,2,B
210059910769,3,F,3,0,1.0,0,Nova Iguaçu,539.2,589.1,539.6,532.1,840.0,3,B
210059654659,2,M,1,0,1.0,0,Duque de Caxias,602.1,618.6,581.1,744.8,940.0,4,D
210061296740,2,F,3,0,1.0,0,Nilópolis,445.4,515.9,516.2,397.9,440.0,5,E
210058468564,3,F,1,0,1.0,0,Niterói,654.5,689.4,701.5,727.7,900.0,3,H
210058979791,2,F,1,0,1.0,0,Duque de Caxias,554.9,574.3,516.3,475.6,720.0,3,B
210058809489,2,F,3,0,1.0,0,Nilópolis,475.7,560.0,600.1,537.3,600.0,4,D
210059994109,2,M,1,0,1.0,0,Nilópolis,515.6,464.1,511.5,566.8,600.0,3,B
210060718769,3,F,3,0,1.0,0,Duque de Caxias,461.7,457.7,320.4,400.8,480.0,4,D
210060103631,2,M,3,0,1.0,0,Nilópolis,486.9,560.9,487.9,493.8,500.0,4,B
210059800942,2,F,1,0,1.0,0,São João de Meriti,507.6,584.9,555.7,480.6,640.0,3,C
210060035154,3,M,1,0,1.0,0,Nilópolis,537.0,599.4,576.9,623.1,580.0,2,B
210060759478,2,F,3,0,1.0,0,Niterói,572.9,597.3,553.6,578.7,560.0,2,D
210060159870,3,F,3,0,1.0,0,Duque de Caxias,598.5,616.9,572.0,463.2,920.0,3,D
210060022163,3,F,2,0,2.0,0,Maricá,409.4,476.8,448.7,434.6,240.0,4,B
210060144865,2,F,1,0,1.0,0,Duque de Caxias,465.2,543.4,539.6,552.7,460.0,3,D
210058486246,5,F,3,0,1.0,0,Belford Roxo,455.2,461.3,448.7,374.8,500.0,4,B
210059890112,3,F,3,0,1.0,0,Nilópolis,516.5,609.9,566.3,642.1,940.0,3,E
210059890154,2,F,1,0,1.0,0,Niterói,653.5,654.6,623.3,842.0,880.0,4,Q
210058982890,2,F,1,0,1.0,0,Niterói,456.7,503.5,490.4,485.2,880.0,4,D
210058982870,5,F,2,0,1.0,0,Belford Roxo,512.8,521.7,560.4,514.4,320.0,4,B
210059721467,3,F,1,0,1.0,0,Belford Roxo,471.0,486.9,427.0,409.0,600.0,4,B
210058954742,2,M,1,0,1.0,0,Duque de Caxias,457.3,522.5,544.2,524.4,740.0,2,A
210061163529,2,F,2,0,1.0,0,São João de Meriti,493.3,553.2,551.7,610.9,880.0,4,C
210059995299,2,F,2,0,1.0,0,Duque de Caxias,463.9,492.0,448.6,442.8,680.0,3,C
210061173322,3,F,1,0,1.0,0,Nova Iguaçu,439.4,532.0,516.8,590.1,540.0,4,D
210060368153,2,F,3,0,1.0,0,Nova Iguaçu,379.4,492.4,461.3,330.0,280.0,5,D
210061113798,3,M,1,0,1.0,0,Maricá,427.1,467.7,451.2,482.4,600.0,4,E
210059046386,3,F,1,0,1.0,0,São João de Meriti,579.6,587.8,582.6,583.0,760.0,5,D
210059994183,2,F,3,0,1.0,0,Belford Roxo,495.0,465.6,471.9,415.2,540.0,4,C
210059994158,2,M,1,0,1.0,0,Nova Iguaçu,541.5,595.6,505.1,534.3,660.0,4,C
210059486595,4,F,2,0,1.0,0,Nova Iguaçu,443.1,445.1,491.2,331.8,480.0,3,B
210060368136,2,F,2,0,1.0,0,Maricá,471.0,571.7,592.0,582.1,840.0,2,C
210059749442,2,F,1,0,1.0,0,Niterói,600.6,623.4,637.6,705.6,760.0,4,Q
210061399521,2,M,1,0,1.0,0,Nilópolis,395.8,482.5,496.3,431.6,720.0,4,G
210061389657,2,F,1,0,1.0,0,Nova Iguaçu,499.1,568.0,609.8,457.1,580.0,2,B
210060201079,2,F,3,0,1.0,0,Duque de Caxias,481.0,407.3,451.0,380.7,420.0,4,A
210059046419,2,F,1,0,1.0,0,São João de Meriti,524.0,449.1,434.4,503.9,520.0,4,B
210059359997,3,F,3,0,1.0,0,Duque de Caxias,466.0,470.9,440.4,342.2,560.0,6,B
210059912959,2,F,1,0,1.0,0,Niterói,561.2,608.1,606.6,690.9,980.0,4,P
210059218817,2,M,3,0,1.0,0,Nilópolis,505.4,564.1,544.2,572.3,880.0,3,G
210060414206,3,F,3,0,1.0,0,Nilópolis,406.3,432.6,517.3,549.2,760.0,4,D
210060423582,3,M,1,0,1.0,0,Nova Iguaçu,483.6,613.6,455.1,617.7,660.0,7,B
210059995444,3,F,1,0,1.0,0,Niterói,569.1,664.6,674.6,717.9,920.0,3,J
210060048262,2,M,3,0,1.0,0,Duque de Caxias,480.9,497.9,482.2,402.8,700.0,3,B
210060811560,2,F,2,0,1.0,0,Niterói,420.0,529.1,566.7,385.4,540.0,4,B
210060368175,3,F,3,0,1.0,0,Nilópolis,473.0,463.8,485.7,444.5,640.0,3,B
210060811522,3,F,3,0,1.0,0,Niterói,442.0,436.5,443.9,331.2,460.0,2,E
210061368688,2,F,1,0,1.0,0,Nilópolis,466.6,467.3,509.6,544.9,640.0,4,I
210059602824,3,F,3,0,1.0,0,Nova Iguaçu,507.5,475.6,525.1,506.7,880.0,3,B
210061348921,3,M,3,0,1.0,0,Belford Roxo,513.3,337.6,334.0,424.4,480.0,6,B
210059946441,3,F,2,0,1.0,0,Nilópolis,419.8,503.8,551.4,582.0,520.0,4,B
210058335342,4,M,2,0,1.0,0,Niterói,331.0,551.7,523.8,638.8,640.0,4,B
210060373895,4,F,1,0,1.0,0,São João de Meriti,425.2,572.6,588.7,493.4,500.0,4,B
210058414485,1,M,3,0,1.0,0,Nilópolis,516.9,510.6,541.2,510.7,520.0,3,A
210059883265,2,F,1,0,1.0,0,Belford Roxo,449.2,489.3,548.4,427.7,780.0,3,C
210059912977,5,F,2,0,1.0,0,Niterói,427.5,441.5,420.9,403.0,600.0,2,B
210060023730,2,F,3,0,1.0,0,Niterói,488.7,635.8,594.9,624.9,920.0,3,C
210059391092,2,F,1,0,1.0,0,Duque de Caxias,478.3,594.9,561.2,536.8,920.0,3,E
210058997953,3,M,2,0,1.0,0,Duque de Caxias,408.6,488.1,398.4,353.8,660.0,4,B
210061254757,5,M,5,0,1.0,0,Duque de Caxias,459.1,493.3,491.9,464.2,580.0,7,D
210058441501,3,F,3,0,1.0,0,Duque de Caxias,420.6,507.3,427.2,498.5,540.0,6,B
210060460466,3,F,1,0,1.0,0,Nova Iguaçu,493.4,527.8,575.7,457.2,660.0,4,B
210059444400,4,F,1,0,1.0,0,Nova Iguaçu,420.2,477.1,491.4,390.7,680.0,4,D
210059924379,3,F,1,0,1.0,0,Belford Roxo,423.3,501.5,448.9,408.5,600.0,2,B
210058782317,4,M,3,0,1.0,0,São João de Meriti,442.0,490.2,548.8,496.4,660.0,5,A
210060687843,3,F,2,0,1.0,0,Duque de Caxias,582.1,574.9,609.5,530.5,640.0,3,B
210059457461,3,F,1,0,1.0,0,Niterói,499.2,568.5,549.2,563.7,820.0,3,B
210061285664,3,M,1,0,1.0,0,Duque de Caxias,569.0,644.3,646.3,605.7,780.0,4,E
210059830505,4,M,1,0,1.0,0,Belford Roxo,454.8,434.4,449.7,448.2,420.0,5,E
210059628796,3,M,1,0,1.0,0,Nova Iguaçu,592.2,649.5,606.1,630.6,900.0,2,E
210061275782,2,F,3,0,1.0,0,Niterói,543.6,531.5,459.7,534.1,900.0,3,C
210059288395,2,F,3,0,1.0,0,Duque de Caxias,504.7,609.3,600.2,708.2,840.0,4,L
210060015809,2,M,1,0,1.0,0,São João de Meriti,521.0,557.4,493.1,506.9,820.0,4,B
210060708972,3,M,3,0,1.0,0,Nova Iguaçu,510.2,441.8,491.2,476.5,560.0,3,C
210059950541,3,F,3,0,1.0,0,Belford Roxo,479.4,573.8,552.4,460.0,780.0,2,A
210058449697,3,M,3,0,1.0,0,Nova Iguaçu,456.0,637.6,574.4,520.6,840.0,3,F
210059485601,2,F,2,0,1.0,0,Nova Iguaçu,402.3,470.9,520.6,394.5,580.0,3,G
210061053876,2,F,1,0,1.0,0,Nova Iguaçu,467.3,477.8,539.4,395.9,580.0,4,E
210059835856,3,F,2,0,1.0,0,Nova Iguaçu,466.0,523.3,499.0,520.9,800.0,4,B
210058335399,3,F,1,0,1.0,0,São João de Meriti,437.3,473.9,431.4,503.6,840.0,2,C
210059830519,3,M,1,0,1.0,0,Niterói,518.0,566.8,568.6,726.9,780.0,3,P
210060390774,3,F,3,0,1.0,0,Nilópolis,437.3,474.9,453.4,340.9,760.0,3,C
210060390791,3,F,1,0,1.0,0,Maricá,508.7,509.3,480.8,521.0,680.0,5,B
210059329553,2,F,1,0,1.0,0,Nova Iguaçu,564.4,558.4,459.5,706.9,860.0,5,B
210058816874,2,F,2,0,1.0,0,Nova Iguaçu,449.5,565.9,575.9,570.8,860.0,3,B
210058478130,3,F,1,0,1.0,0,Nova Iguaçu,516.5,592.5,563.0,628.1,760.0,2,B
210058992763,3,M,1,0,1.0,0,Belford Roxo,394.8,432.5,404.2,390.7,600.0,2,B
210058468642,3,F,3,0,1.0,0,São João de Meriti,437.7,523.5,559.6,456.7,900.0,3,B
210060729969,4,M,1,0,1.0,0,Duque de Caxias,497.9,576.7,497.8,491.3,520.0,5,B
210058979796,5,F,2,0,1.0,0,Niterói,376.0,394.8,411.8,463.0,500.0,4,C
210059511778,2,F,1,0,1.0,0,Duque de Caxias,509.2,527.0,477.8,586.5,400.0,3,C
210058802925,3,F,1,0,1.0,0,Niterói,564.8,600.8,589.4,654.0,740.0,3,C
210059432319,7,F,2,0,1.0,0,Duque de Caxias,351.7,430.0,464.4,511.3,500.0,3,A
210061163564,4,M,3,0,1.0,0,Niterói,701.0,716.8,710.6,772.2,880.0,5,N
210060526726,3,F,3,0,1.0,0,Maricá,397.4,436.6,499.7,538.6,480.0,7,E
210059863951,2,F,1,0,1.0,0,Duque de Caxias,430.8,498.7,447.7,512.9,680.0,2,B
210059695580,3,M,2,0,1.0,0,Duque de Caxias,357.4,439.0,477.7,469.5,600.0,3,B
210059708510,2,M,3,0,1.0,0,Nilópolis,585.7,624.8,583.3,662.6,740.0,3,H
210060396488,3,M,1,0,1.0,0,São João de Meriti,572.5,596.0,579.6,672.7,760.0,5,C
210061306694,2,F,3,0,1.0,0,Belford Roxo,433.7,533.1,493.7,385.2,620.0,3,B
210058486328,3,M,3,0,1.0,0,Duque de Caxias,395.8,535.9,473.0,434.7,940.0,6,B
210060009277,2,F,3,0,1.0,0,Nova Iguaçu,561.7,596.6,599.5,565.0,920.0,4,C
210059749469,4,F,1,0,1.0,0,Niterói,390.2,417.0,441.5,439.0,560.0,3,A
210059177626,3,F,1,0,1.0,0,São João de Meriti,444.9,527.2,571.3,585.7,900.0,3,D
210060550002,3,M,1,0,1.0,0,Maricá,441.5,556.0,534.9,427.8,600.0,5,B
210058646758,4,F,2,0,1.0,0,Nova Iguaçu,546.0,499.6,462.9,363.9,820.0,2,B
210060399018,4,F,3,0,1.0,0,São João de Meriti,474.2,523.1,492.0,530.9,720.0,6,D
210058646761,4,M,3,0,1.0,0,Belford Roxo,451.8,577.4,518.1,361.1,560.0,3,B
210061173390,2,M,3,0,1.0,0,Belford Roxo,626.3,617.9,552.1,712.2,480.0,2,B
210058505405,2,F,1,0,1.0,0,Duque de Caxias,409.9,572.2,598.2,486.5,700.0,5,C
210059829092,3,F,1,0,1.0,0,Duque de Caxias,493.5,509.2,440.0,439.0,520.0,3,D
210059829088,2,M,1,0,1.0,0,Niterói,419.6,582.4,480.3,555.6,680.0,2,B
210059360028,2,M,2,0,1.0,0,Duque de Caxias,460.7,536.5,520.8,514.8,820.0,2,B
210060770752,4,M,3,0,1.0,0,Duque de Caxias,485.1,504.3,545.2,479.1,720.0,8,C
210060159953,4,M,2,0,1.0,0,Nova Iguaçu,391.8,482.1,447.4,424.9,740.0,4,B
210061063502,2,F,1,0,1.0,0,Nilópolis,400.1,406.7,406.5,454.0,520.0,6,A
210059552984,3,F,1,0,1.0,0,Niterói,530.7,577.5,622.4,629.3,820.0,3,G
210060008341,2,F,2,0,1.0,0,Maricá,514.2,581.4,578.5,547.1,780.0,4,H
210058830829,3,F,1,0,1.0,0,Niterói,478.7,500.2,448.0,616.4,880.0,4,K
210058095766,3,F,1,0,1.0,0,Niterói,623.5,595.6,496.5,759.9,880.0,4,O
210061451442,2,F,1,0,1.0,0,São João de Meriti,433.6,470.4,510.5,602.8,800.0,4,D
210061204217,3,M,1,0,1.0,0,Duque de Caxias,547.7,557.6,542.5,534.0,540.0,5,H
210058553287,2,M,1,0,1.0,0,Maricá,521.6,533.6,522.4,457.1,520.0,2,F
210059843553,3,F,3,0,1.0,0,Duque de Caxias,563.6,543.5,495.3,642.3,880.0,3,D
210060214229,2,F,1,0,1.0,0,Niterói,548.4,621.0,625.3,733.8,860.0,4,E
210059855212,4,M,2,0,1.0,0,Belford Roxo,568.7,541.8,581.9,397.3,720.0,5,B
210059514774,3,F,3,0,1.0,0,Duque de Caxias,522.8,481.0,486.1,333.8,520.0,4,A
210061125392,3,F,3,0,1.0,0,Duque de Caxias,431.2,455.9,459.1,396.9,600.0,2,C
210059589878,3,F,1,0,1.0,0,Niterói,555.0,488.8,502.8,505.6,440.0,3,B
210060008365,3,F,1,0,1.0,0,Duque de Caxias,474.7,599.8,546.0,522.8,700.0,5,D
210059549060,2,M,2,0,1.0,0,São João de Meriti,499.3,343.6,394.9,422.0,500.0,3,E
210058553332,3,F,2,0,1.0,0,Nova Iguaçu,429.8,463.1,484.7,388.7,460.0,4,B
210059933416,3,F,3,0,1.0,0,São João de Meriti,439.3,509.1,517.1,405.5,600.0,4,C
210059843569,4,F,3,0,1.0,0,Duque de Caxias,429.8,571.1,533.9,512.3,540.0,6,D
210060229312,3,M,2,0,1.0,0,Nova Iguaçu,416.1,506.3,489.4,546.4,320.0,1,C
210060023795,3,F,3,0,1.0,0,Duque de Caxias,556.6,586.8,497.8,566.7,660.0,3,B
210059085253,3,F,3,0,1.0,0,São João de Meriti,473.9,531.2,461.2,481.1,600.0,3,C
210059085249,2,F,3,0,1.0,0,Duque de Caxias,549.1,616.7,566.5,569.1,820.0,5,B
210058983053,2,M,2,0,1.0,0,Maricá,540.9,579.3,572.0,530.1,580.0,3,G
210059974623,2,F,3,0,1.0,0,Nova Iguaçu,439.1,526.5,557.2,510.9,820.0,3,B
210061244928,3,F,1,0,1.0,0,São João de Meriti,547.9,524.7,527.8,499.0,920.0,4,G
210059974615,3,M,2,0,1.0,0,Niterói,537.8,613.9,569.4,673.3,660.0,5,K
210059959589,3,M,4,0,1.0,0,Duque de Caxias,425.3,425.3,497.7,517.8,560.0,2,B
210058432104,2,F,3,0,1.0,0,Niterói,441.9,552.8,545.8,574.6,860.0,4,D
210059362971,3,F,1,0,1.0,0,Niterói,448.4,524.9,560.4,594.6,860.0,3,F
210058929454,2,F,3,0,1.0,0,Duque de Caxias,465.4,553.4,397.8,630.0,900.0,4,D
210059896409,2,F,3,0,1.0,0,Maricá,557.2,622.2,613.7,619.9,840.0,5,E
210060666866,3,F,3,0,1.0,0,Nova Iguaçu,497.5,559.1,530.9,477.1,880.0,4,A
210059909443,2,F,3,0,1.0,0,Maricá,454.0,509.6,540.5,429.6,560.0,4,E
210059429398,3,F,2,0,1.0,0,Duque de Caxias,427.0,470.7,457.4,382.9,480.0,3,C
210058422660,3,F,1,0,1.0,0,Duque de Caxias,507.7,537.6,507.9,532.9,660.0,3,B
210059925925,3,M,3,0,2.0,0,Duque de Caxias,570.5,637.1,631.8,665.0,900.0,3,C
210059024247,3,M,3,0,1.0,0,Niterói,465.7,560.5,436.1,582.4,920.0,4,A
210059288400,3,F,3,0,1.0,0,Duque de Caxias,513.3,345.3,406.2,416.4,640.0,5,C
210059628822,2,F,3,0,1.0,0,Nova Iguaçu,429.9,477.0,468.8,350.6,880.0,3,B
210059052366,2,F,3,0,1.0,0,São João de Meriti,505.9,615.7,542.9,596.8,680.0,2,A
210060079452,3,F,3,0,1.0,0,Nova Iguaçu,429.1,406.7,474.8,458.1,360.0,2,B
210059275287,2,M,1,0,1.0,0,Niterói,468.7,589.8,545.3,566.6,520.0,4,C
210058432140,3,F,1,0,1.0,0,Maricá,488.6,542.6,519.4,425.1,540.0,4,C
210059391118,3,F,1,0,1.0,0,Nilópolis,509.1,525.6,564.9,484.9,600.0,3,B
210059615801,2,F,3,0,1.0,0,São João de Meriti,457.9,613.3,609.5,642.6,780.0,4,C
210058587958,2,F,3,0,1.0,0,Nilópolis,535.5,565.2,602.7,682.8,620.0,4,I
210058608651,2,M,1,0,1.0,0,Nova Iguaçu,574.0,581.8,561.1,623.7,720.0,4,D
210060390868,3,F,3,0,1.0,0,São João de Meriti,501.6,573.6,541.2,523.4,420.0,5,B
210059669683,2,F,1,0,1.0,0,Duque de Caxias,429.3,562.7,494.1,480.0,400.0,3,D
210061318145,2,F,1,0,1.0,0,Duque de Caxias,443.2,567.2,544.2,491.8,400.0,4,D
210059822746,3,F,3,0,1.0,0,Duque de Caxias,526.6,566.0,588.9,566.5,820.0,5,D
210060388944,3,F,2,0,1.0,0,Duque de Caxias,494.2,492.7,521.5,471.2,680.0,6,C
210059316542,3,F,3,0,1.0,0,Niterói,517.3,520.6,504.7,430.7,720.0,3,B
210059301514,3,F,1,0,1.0,0,Nilópolis,544.5,463.6,495.3,378.2,520.0,4,F
210060469911,2,F,1,0,1.0,0,Maricá,563.8,646.5,579.8,705.7,900.0,4,G
210061275861,3,F,1,0,1.0,0,Nova Iguaçu,478.0,591.7,554.1,579.2,900.0,3,C
210058459224,3,F,3,0,1.0,0,Duque de Caxias,441.1,474.3,431.0,501.9,320.0,4,D
210060213955,2,F,1,0,1.0,0,Nilópolis,634.9,685.6,638.0,704.2,840.0,4,I
210060730036,3,M,2,0,1.0,0,Nova Iguaçu,571.7,604.6,567.1,682.7,780.0,3,G
210060076382,3,F,1,0,1.0,0,Nova Iguaçu,503.9,529.8,536.1,404.4,620.0,3,B
210060103740,2,F,3,0,1.0,0,Duque de Caxias,459.9,515.0,506.2,455.4,520.0,2,B
210060076412,2,F,3,0,1.0,0,Nova Iguaçu,523.2,491.4,504.7,510.2,560.0,3,D
210059965643,3,F,3,0,1.0,0,Belford Roxo,508.7,578.2,507.7,423.2,680.0,5,B
210060063344,3,F,3,0,1.0,0,Nilópolis,433.0,363.1,335.9,425.5,280.0,4,G
210058941222,3,M,1,0,1.0,0,Duque de Caxias,461.5,395.1,371.5,433.8,500.0,3,D
210059485679,3,F,1,0,1.0,0,Niterói,605.2,656.0,647.3,794.8,920.0,2,J
210058941763,3,M,2,0,1.0,0,Niterói,553.2,497.7,534.7,541.5,500.0,4,B
210060146923,2,F,2,0,1.0,0,Belford Roxo,468.5,507.3,482.5,550.2,620.0,5,C
210058345371,3,F,2,0,1.0,0,Duque de Caxias,435.2,577.6,564.3,665.7,780.0,4,C
210060213990,2,F,3,0,1.0,0,Niterói,587.6,624.3,576.1,599.7,920.0,4,B
210061002684,2,F,1,0,1.0,0,Duque de Caxias,519.5,539.0,554.8,477.4,720.0,3,G
210059007678,2,M,3,0,1.0,0,Nova Iguaçu,464.9,447.3,503.3,496.7,600.0,3,B
210058478163,2,F,1,0,1.0,0,Belford Roxo,352.4,347.7,510.2,446.3,520.0,2,B
210058478154,3,F,3,0,1.0,0,Maricá,440.4,557.3,517.2,500.3,520.0,3,B
210060749717,3,F,2,0,1.0,0,Niterói,511.7,611.8,600.1,529.8,920.0,3,D
210059787954,2,F,1,0,1.0,0,Niterói,507.6,455.6,548.4,551.6,740.0,3,G
210059511837,3,F,1,0,1.0,0,Nova Iguaçu,407.8,527.2,517.3,452.9,640.0,5,D
210060396553,3,F,1,0,1.0,0,Nova Iguaçu,484.5,590.6,554.8,681.5,980.0,2,B
210060399064,3,M,1,0,1.0,0,Nova Iguaçu,485.7,508.4,514.6,513.2,720.0,5,B
210060539332,3,F,2,0,1.0,0,São João de Meriti,498.0,574.0,532.9,556.8,300.0,3,B
210059721570,3,M,3,0,1.0,0,Belford Roxo,393.2,449.2,471.1,447.2,600.0,4,C
210058625342,3,F,4,0,1.0,0,Belford Roxo,516.1,526.7,557.5,573.6,260.0,4,C
210061358976,2,M,1,0,1.0,0,Duque de Caxias,555.0,602.8,592.5,604.0,640.0,3,G
210059695657,2,F,3,0,1.0,0,Nova Iguaçu,540.2,456.1,507.4,431.8,820.0,2,A
210060516133,2,F,2,0,1.0,0,Belford Roxo,386.1,476.5,514.6,464.4,380.0,4,B
210061339196,3,F,2,0,1.0,0,Duque de Caxias,507.7,473.1,521.7,553.9,580.0,4,A
210060009368,3,F,1,0,1.0,0,Nilópolis,493.9,495.4,492.3,419.2,860.0,2,C
210060159995,3,M,2,0,1.0,0,Duque de Caxias,399.0,470.9,395.4,390.8,540.0,3,C
210059801051,3,F,2,0,1.0,0,Nova Iguaçu,374.1,450.8,479.5,429.7,520.0,2,B
210059046493,2,F,3,0,1.0,0,Maricá,556.6,530.4,511.7,557.2,780.0,2,D
210059553062,2,F,1,0,1.0,0,Duque de Caxias,506.1,545.6,552.7,664.6,920.0,3,H
210059938929,2,M,3,0,1.0,0,Duque de Caxias,558.6,573.2,570.4,502.7,660.0,2,D
210061401031,2,M,2,0,1.0,0,Nova Iguaçu,513.7,548.0,509.9,448.9,740.0,3,B
210059514797,3,F,1,0,1.0,0,Niterói,479.2,608.3,573.1,675.7,940.0,4,Q
210059842245,2,F,1,0,1.0,0,Duque de Caxias,551.5,589.3,574.9,640.5,880.0,3,E
210060051705,3,F,3,0,1.0,0,Nova Iguaçu,523.9,561.5,541.0,596.5,500.0,4,F
210058524468,3,F,3,0,1.0,0,Duque de Caxias,617.8,627.2,613.8,580.3,880.0,2,C
210059842254,4,F,3,0,1.0,0,Nilópolis,374.6,396.6,454.8,405.3,440.0,4,B
210058505459,2,F,1,0,1.0,0,Maricá,537.4,573.7,576.4,661.3,780.0,3,D
210060022430,4,M,3,0,1.0,0,Duque de Caxias,590.9,652.6,610.5,530.3,880.0,4,A
210060173129,3,M,2,0,1.0,0,Nilópolis,409.0,435.3,475.4,399.1,500.0,3,B
210060035414,2,F,1,0,1.0,0,Maricá,606.3,650.4,651.0,654.3,920.0,3,J
210058314477,2,F,3,0,1.0,0,Duque de Caxias,481.7,375.0,414.9,498.2,380.0,4,A
210059562038,2,F,1,0,1.0,0,Nilópolis,553.9,603.9,554.8,522.7,920.0,3,G
210059190786,3,F,1,0,1.0,0,Nova Iguaçu,516.5,588.0,567.8,477.0,720.0,3,B
210059098234,2,F,3,0,1.0,0,Maricá,485.8,545.4,561.7,508.1,620.0,4,G
210061441668,2,M,1,0,1.0,0,Niterói,727.0,682.9,604.7,841.3,940.0,3,P
210059918395,3,F,2,0,1.0,0,Nova Iguaçu,467.8,510.0,501.7,388.2,680.0,5,C
210059589933,3,M,3,0,1.0,0,Duque de Caxias,508.7,486.9,422.9,503.5,560.0,5,B
210060378541,3,F,2,0,1.0,0,Nova Iguaçu,523.3,519.2,602.6,593.1,780.0,2,C
